gauge,depth_in,height_in,width_in (column profile),price_cents,price,weight_kg,load_capacity_kg,type,category
14,36,82,3,118273,1182.73,25.22,15766,selectivo,marco
14,36,82,3,114006,1140.06,24.31,15782,selectivo,marco
14,36,82,3,111742,1117.42,23.82,15760,selectivo,marco
14,36,82,3,109146,1091.46,23.27,15209,selectivo,marco
14,36,82,3,106963,1069.63,22.81,14619,selectivo,marco
14,36,82,3,118273,1182.73,25.22,13328,selectivo,marco
14,42,82,3,123203,1232.03,26.27,15766,selectivo,marco
14,42,82,3,117277,1172.77,25.01,15782,selectivo,marco
14,42,82,3,115254,1152.54,24.57,15760,selectivo,marco
14,42,82,3,112195,1121.95,23.92,15209,selectivo,marco
14,42,82,3,109649,1096.49,23.38,14619,selectivo,marco
14,42,82,3,123163,1231.63,26.26,13328,selectivo,marco
12,36,82,3,161702,1617.02,34.48,22145,selectivo,marco
12,36,82,3,155966,1559.66,33.26,22162,selectivo,marco
12,36,82,3,152817,1528.17,32.58,22076,selectivo,marco
12,36,82,3,149426,1494.26,31.86,21299,selectivo,marco
12,36,82,3,146447,1464.47,31.23,20467,selectivo,marco
12,36,82,3,161702,1617.02,34.48,18652,selectivo,marco
12,42,82,3,168363,1683.63,35.9,22145,selectivo,marco
12,42,82,3,160625,1606.25,34.25,22162,selectivo,marco
12,42,82,3,157576,1575.76,33.6,22076,selectivo,marco
12,42,82,3,153461,1534.61,32.72,21299,selectivo,marco
12,42,82,3,150020,1500.2,31.99,20467,selectivo,marco
12,42,82,3,168363,1683.63,35.9,18652,selectivo,marco
14,36,84,3,121112,1211.12,25.82,15764,selectivo,marco
14,36,84,3,116743,1167.43,24.89,15780,selectivo,marco
14,36,84,3,114394,1143.94,24.39,15758,selectivo,marco
14,36,84,3,111766,1117.66,23.83,15207,selectivo,marco
14,36,84,3,109530,1095.3,23.35,14617,selectivo,marco
14,36,84,3,121112,1211.12,25.82,13327,selectivo,marco
14,42,84,3,126161,1261.61,26.9,15764,selectivo,marco
14,42,84,3,120092,1200.92,25.61,15780,selectivo,marco
14,42,84,3,118021,1180.21,25.16,15758,selectivo,marco
14,42,84,3,114888,1148.88,24.5,15207,selectivo,marco
14,42,84,3,112281,1122.81,23.94,14617,selectivo,marco
14,42,84,3,126120,1261.2,26.89,13327,selectivo,marco
12,36,84,3,165583,1655.83,35.31,22143,selectivo,marco
