height_mm,depth_mm,height_in,depth_in,width_in,beam_separation_in,gauge,load_capacity_kg,weight_kg,cost,type,category,sku
2083,914,82,36,3,36,14,15766,25.22,1182.73,selectivo,marco,frame-82in-36in-36in-g14
2083,914,82,36,3,42,14,15782,24.31,1140.06,selectivo,marco,frame-82in-36in-42in-g14
2083,914,82,36,3,48,14,15760,23.82,1117.12,selectivo,marco,frame-82in-36in-48in-g14
2083,914,82,36,3,54,14,15209,23.27,1091.46,selectivo,marco,frame-82in-36in-54in-g14
2083,914,82,36,3,60,14,14619,22.81,1069.63,selectivo,marco,frame-82in-36in-60in-g14
2083,914,82,36,3,72,14,13328,25.22,1182.73,selectivo,marco,frame-82in-36in-72in-g14
2133,914,84,36,3,36,14,15764,25.82,1211.12,selectivo,marco,frame-84in-36in-36in-g14
2133,914,84,36,3,42,14,15780,24.89,1167.43,selectivo,marco,frame-84in-36in-42in-g14
2133,914,84,36,3,48,14,15758,24.39,1143.94,selectivo,marco,frame-84in-36in-48in-g14
2133,914,84,36,3,54,14,15207,23.83,1117.66,selectivo,marco,frame-84in-36in-54in-g14
2133,914,84,36,3,60,14,14617,23.35,1095.30,selectivo,marco,frame-84in-36in-60in-g14
2133,914,84,36,3,72,14,13327,25.82,1211.12,selectivo,marco,frame-84in-36in-72in-g14
2438,914,96,36,3,36,14,15750,29.52,1384.30,selectivo,marco,frame-96in-36in-36in-g14
2438,914,96,36,3,42,14,15768,28.45,1334.36,selectivo,marco,frame-96in-36in-42in-g14
2438,914,96,36,3,48,14,15748,27.88,1307.51,selectivo,marco,frame-96in-36in-48in-g14
2438,914,96,36,3,54,14,15197,27.24,1277.48,selectivo,marco,frame-96in-36in-54in-g14
2438,914,96,36,3,60,14,14608,26.69,1251.92,selectivo,marco,frame-96in-36in-60in-g14
2438,914,96,36,3,72,14,13319,29.52,1384.30,selectivo,marco,frame-96in-36in-72in-g14
2438,914,96,36,3,84,14,11936,28.43,1333.18,selectivo,marco,frame-96in-36in-84in-g14
3048,914,120,36,3,36,14,15722,36.9,1730.66,selectivo,marco,frame-120in-36in-36in-g14
3048,914,120,36,3,42,14,15746,35.57,1668.23,selectivo,marco,frame-120in-36in-42in-g14
3048,914,120,36,3,48,14,15726,34.85,1634.66,selectivo,marco,frame-120in-36in-48in-g14
3048,914,120,36,3,54,14,15177,34.05,1597.11,selectivo,marco,frame-120in-36in-54in-g14
3048,914,120,36,3,60,14,14590,33.37,1565.16,selectivo,marco,frame-120in-36in-60in-g14
3048,914,120,36,3,72,14,13303,36.9,1730.66,selectivo,marco,frame-120in-36in-72in-g14
3048,914,120,36,3,84,14,11922,35.54,1666.75,selectivo,marco,frame-120in-36in-84in-g14
3048,914,120,36,3,96,14,10508,34.86,1634.95,selectivo,marco,frame-120in-36in-96in-g14
3048,914,120,36,3,108,14,9098,34.06,1597.55,selectivo,marco,frame-120in-36in-108in-g14
3658,914,144,36,3,36,14,15695,44.29,2077.01,selectivo,marco,frame-144in-36in-36in-g14
3658,914,144,36,3,42,14,15723,42.69,2002.09,selectivo,marco,frame-144in-36in-42in-g14
3658,914,144,36,3,48,14,15704,41.83,1961.80,selectivo,marco,frame-144in-36in-48in-g14
3658,914,144,36,3,54,14,15157,40.87,1916.74,selectivo,marco,frame-144in-36in-54in-g14
3658,914,144,36,3,60,14,14573,40.05,1878.40,selectivo,marco,frame-144in-36in-60in-g14
3658,914,144,36,3,72,14,13287,44.29,2077.01,selectivo,marco,frame-144in-36in-72in-g14
3658,914,144,36,3,84,14,11908,42.65,2000.32,selectivo,marco,frame-144in-36in-84in-g14
3658,914,144,36,3,96,14,10496,41.84,1962.15,selectivo,marco,frame-144in-36in-96in-g14
3658,914,144,36,3,108,14,9084,40.88,1917.27,selectivo,marco,frame-144in-36in-108in-g14
